18,26,10
11,21,7
1,14,8
8,17,9
8,11,9
6,13,0
10,11,9
3,12,6
15,15,9
3,11,4
13,8,7
12,21,0
1,0,6
4,8,3
3,6,3
7,20,1
11,11,1
11,25,7
16,23,5
5,20,4
2,13,6
15,22,7
17,3,3
1,5,9
15,15,6
5,25,5
0,23,2
6,19,6
15,9,1
0,19,6
16,16,8
10,6,7
4,3,7
8,6,9
8,4,4
5,19,6
0,12,9
8,14,0
3,8,8
8,9,3
1,23,4
14,1,8
2,23,7
7,8,0
16,3,1
9,7,0
15,8,1
2,9,9
17,19,6
14,4,4
3,9,1
0,19,6
1,12,0
14,9,2
10,5,8
8,17,4
16,1,8
16,17,9
3,1,5
9,7,4
5,15,6
4,18,2
4,3,6
2,22,5
1,3,6
12,10,9
11,6,3
5,24,3
0,3,9
11,2,1
7,25,5
4,7,9
16,20,6
0,1,5
17,11,8
14,10,1
5,2,4
1,19,4
10,17,1
4,18,7
9,14,1
8,24,0
8,12,0
4,18,5
5,17,4
4,9,2
8,4,7
4,7,8
8,6,9
10,21,9
0,8,4
0,18,9
16,18,7
17,0,5
9,25,8
13,5,0
13,24,0
6,2,1
16,17,0
14,21,5
6,24,1
2,7,4
14,6,0
5,0,4
3,3,3
15,8,2
11,9,3
7,17,6
0,11,2
4,23,5
1,2,2
14,25,4
17,21,5
4,10,9
4,6,5
5,24,4
16,17,0
13,13,2
1,9,6
12,8,0
5,5,4
7,20,2
13,8,2
4,10,9
16,4,7
15,23,2
4,19,9
1,9,0
1,25,9
6,18,0
5,10,6
17,3,9
10,10,4
15,16,1
6,10,3
8,20,5
6,5,5
12,14,3
9,21,7
1,12,0
5,13,5
13,10,0
5,3,9
2,2,6
0,0,5
12,25,9
0,1,9
8,17,0
7,25,8
16,24,5
17,25,1
5,25,5
11,16,0
16,21,8
4,19,6
11,5,2
2,10,7
15,11,2
10,16,2
1,0,5
11,0,0
11,10,8
11,22,4
6,18,8
6,6,7
14,3,2
5,8,6
0,14,7
9,25,4
12,20,4
8,3,8
17,21,6
0,2,8
15,21,6
5,17,7
9,14,1
15,3,4
15,2,9
12,6,7
1,0,0
8,1,7
9,25,7
5,16,8
13,10,1
9,16,8
10,3,8
3,15,7
17,21,1
6,4,4
2,17,2
15,0,1
17,0,8
16,12,0
13,16,6
12,0,7
10,5,3
3,9,5
0,0,0
0,0,0
0,0,0
0,0,0
